"01"	"Cardiacs"	"Eden on the Air"	""	"00:00"	"Cardiacs - Sing to God, Pts. I & II"
"01"	"Catch Twenty Two"	"Prologue"	""	"00:00"	"Catch Twenty Two - Permanent Revolution (2006)"
"01"	"Charles Strouse; Martin Charnin"	"Tommorrow - Aileen Quinn/Orphans"	""	"00:00"	"Charles Strouse; Martin Charnin - Annie (Original 1982 Motion Picture Soundtrack) (1990)"
"01"	"Chris Isaak"	"One Day"	"Soft Rock"	"04:27"	"Chris Isaak - Always Got Tonight (2002)"
"01"	"Chris Isaak"	"Pretty Girls Don't Cry"	""	"00:00"	"Chris Isaak - Baja Sessions (1996)"
"01"	"Chris Isaak"	"Rudolph the Red-Nosed Reindeer"	""	"00:00"	"Chris Isaak - Chris Isaak Christmas (2005)"
"01"	"Chris Isaak"	"Heart Shaped World"	"Soft Rock"	"03:29"	"Chris Isaak - Heart Shaped World (1989)"
"01"	"Christy Carlson Romano"	"Dive In"	""	"00:00"	"Christy Carlson Romano - Christy Carlson Romano: Greatest Disney TV & Film Hits (2004)"
"01"	"Chronic Future"	"Time And Time Again"	""	"00:00"	"Chronic Future - Lines in My Face (2004)"
"01"	"Chuck Brown"	"'Dark Matter'"	"Instrumental"	"03:11"	"Chuck Brown - The Best of Chuck Brown"
"01"	"Chuck Brown"	"It Don't Mean a Thing (If It Ain't Got That Swing)"	"Instrumental"	"00:00"	"Chuck Brown - The Best of Chuck Brown"
"01"	"Citizen Cope"	"Back Together"	""	"03:06"	"Citizen Cope - Every Waking Moment (2006)"
"01"	"Citizen Cope"	"Nite Becomes Day"	"Rock"	"04:48"	"Citizen Cope - The Clarence Greenwood Recordings"
"01"	"Citizen King"	"Under The Influence"	"Rock"	"04:23"	"Citizen King - Mobile Estates"
"01"	"Clark Gesner; Bob Balaban; Gary Burghoff"	"You're A Good Man, Charlie Brown"	""	"00:00"	"Clark Gesner; Bob Balaban; Gary Burghoff - You're a Good Man, Charlie Brown (1967 Original Off-Broadway Cast) (2000)"
"01"	"Classic Case"	"Revival"	"Alternative"	"03:44"	"Classic Case - Dress to Depress (2005)"
"01"	"Clay Aiken"	"Bridge Over Troubled Water"	""	"00:00"	"Clay Aiken - Bridge Over Troubled Water/This Is The Night (2003)"
"01"	"Corey Hart"	"Don't Take Me to the Racetrack"	"Pop"	"03:40"	"Corey Hart - Young Man Running"
"01"	"Counting Crows"	"Hanginaround"	""	"00:00"	"Counting Crows - This Desert Life (1999)"
"01"	"Crack the Sky"	"Hod On"	""	"03:03"	"Crack the Sky - Alive and Kickin Ass (2006)"
"01"	"Crass"	"Do They Owe Us A Living?"	""	"00:00"	"Crass - Best Before 1984 (1995)"
"01"	"Cursive"	"Dispenser"	"Rock"	"03:09"	"Cursive - The Difference Between Houses and Homes (Lost Songs and Loose Ends 1995-2001)"
"01"	"Cursive"	"The Ugly Organist"	""	"00:00"	"Cursive - The Ugly Organ (2003)"
"01"	"Damian 'Jr. Gong' Marley"	"Confrontation"	"Reggae"	"05:31"	"Damian 'Jr. Gong' Marley - Welcome to Jamrock (2005)"
"01"	"Dan Fogelberg"	"Aurora Nova/"	"Folk-Rock"	"01:38"	"Dan Fogelberg - The Wild Places (1990)"
"01"	"Dave Matthews Band"	"Don't Drink The Water"	""	"00:00"	"Dave Matthews Band - Live at Folsom Field - Boulder, Colorado (2002)"
"01"	"Dave Matthews Band"	"Angel"	""	"00:00"	"Dave Matthews Band - Live at Folsom Field - Boulder, Colorado (2002)"
"01"	"Bowie, David"	"In The Heat Of The Morning - Bowie, David & Tony Visconti Orchestra"	""	"00:00"	"Bowie, David - Bowie at the Beeb: The Best of the BBC Radio Sessions (2004)"
"01"	"Bowie, David"	"Supermen"	""	"00:00"	"Bowie, David - Bowie at the Beeb: The Best of the BBC Radio Sessions (2004)"
"01"	"David Gray"	"Flame Turns Blue"	""	"00:00"	"David Gray - Lost Songs 95-98"
"01"	"De La Soul"	"Intro/Say R."	""	"00:00"	"De La Soul - Art Official Intelligence: Mosaic Thump (2000)"
"01"	"Destiny's Child"	"8 Days Of Christmas"	"Christmas"	"03:30"	"Destiny's Child - 8 Days Of Christmas (Bonus Tracks) (2001)"
"01"	"Devin Townsend"	"Seventh Wave"	""	"00:00"	"Devin Townsend - Ocean Machine/Biomech (2001)"
"01"	"Disney"	"Halfway Around The World - A*Teens"	""	"00:00"	"Disney - Radio Disney: Kid Jams, Vol. 4 (2001)"
"01"	"Dizzee Rascal"	"Showtine"	"Hip-Hop"	"02:12"	"Dizzee Rascal - Showtime"
"01"	"Dog Fashion Disco"	"The Uninvited Guest"	"Metal"	"01:34"	"Dog Fashion Disco - Adultery (2006)"
"01"	"Doug & the Slugs"	"'Cognac and Bologna': To Be Laughing"	""	"00:00"	"Doug & the Slugs - Cognac and Bologna/Wrap It! (1997)"
"01"	"Elliott Smith"	"Angel In The Snow"	""	"00:00"	"Elliott Smith - New Moon (2007)"
"01"	"Elliott Smith"	"Georgia, Georgia"	""	"00:00"	"Elliott Smith - New Moon (2007)"
"01"	"Eminem"	"Curtains Up"	"General Rap; Hardcore Rap"	"00:29"	"Eminem - The Eminem Show [Limited Edition w/ Bonus DVD] (2002)"
"01"	"Eminem"	"PSA 2000"	""	"00:00"	"Eminem - The Marshall Mathers LP (Clean) [Edited Version] (2000)"
"01"	"Erasure"	"A Little Respect"	"Pop; Electronic; Synthpop"	"03:34"	"Erasure - The Innocents (1990)"
"01"	"Escape Club"	"Wild, Wild West"	""	"00:00"	"Escape Club - Wild Wild West (1990)"
"01"	"Everclear"	"Under the Western Stars"	"General Rock"	"05:12"	"Everclear - Welcome to the Drama Club (2006)"
"01"	"Faithless"	"Insomnia"	""	"00:00"	"Faithless - Forever Faithless (The Best of) (2005)"
"01"	"From First to Last"	"Solioquy"	""	"00:00"	"From First to Last - Dear Diary, My Teen Angst Has a Bodycount (2004)"
"01"	"Good Charlotte"	"Little Things"	""	"00:00"	"Good Charlotte - Good Charlotte (2004)"
"01"	"Gorillaz"	"Re-Hash"	""	"00:00"	"Gorillaz - Gorillaz [Clean Version] (2001)"
"01"	"Hazen Street"	"Are You Ready?"	"Pop Punk/Hardcore"	"02:21"	"Hazen Street - Hazen Street"
"01"	"Hi-Standard"	"Fighting Fists, Angry Soul"	""	"00:00"	"Hi-Standard - Angry Fist (1997)"
"01"	"Hi-Tek"	"The Oracle (intro)"	"Hip-Hop"	"00:16"	"Hi-Tek - Hi-Teknology 2: The Chip (2006)"
"01"	"Hot Soup"	"A Much Better View Of The Moon"	"Folk"	"04:10"	"Hot Soup - Soup Happens (2001)"
"01"	"Imbue"	"the switch"	""	"04:06"	"Imbue - Ritual in Bloom (2003)"
"01"	"J.J. Cale; Eric Clapton"	"Danger"	"Electric Blues; Blues Rock"	"05:34"	"J.J. Cale; Eric Clapton - The Road to Escondido (2006)"
"01"	"Jakaranda; George Thorogood & The Destroyers"	"L O V E - Nat King Cole"	""	"00:00"	"Jakaranda; George Thorogood & The Destroyers - Parent Trap (1998)"
